file_path,tags
/Volumes/Home/Public/Wedding Video/C2872.MP4,"The bride dancing with a friend wearing red and talking, then the view changes to show the groom dancing with his friends. The groom is waering a white shirt."
/Volumes/Home/Public/Wedding Video/C0047.MP4,"Flower arrangement the venue, showing it's beauty and the seating. waiting for the guests."
